State,District,Latitude,Longitude,District code,Population,Male_Literate,Female_Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Sex_Ratio,Litercay_Rate
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,956313,314253,242961,766000,20290,157789,370,6260,397,3568,1052.0,58.0
Assam,Karimganj,24.69660712250711,92.3679498575498,317,1228686,435942,359355,521962,692489,11990,114,446,524,110,1038.0,65.0
Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,887142,275220,214085,529068,252271,101091,93,1718,396,123,1043.0,55.0
Assam,Lakhimpur,27.141288059701495,94.0775949253732,307,1042137,375552,307934,797130,193476,46217,412,1074,250,2410,1034.0,66.0
Assam,Nagaon,26.26462170626351,92.9306191144708,305,2823768,921850,788866,1225246,1563203,26844,3036,1073,1162,61,1039.0,61.0
Assam,Nalbari,26.46323767605632,91.40598521126763,323,771639,293184,238587,491582,277488,429,62,27,1004,9,1054.0,69.0
Assam,Sonitpur,26.73514926829268,92.85197804878044,306,1924110,620525,488047,1422824,350536,138166,1363,5088,1003,221,1046.0,58.0
Assam,Tinsukia,27.53549291139241,95.69055949367085,309,1327929,453449,344873,1181347,48373,76877,1999,16228,837,395,1050.0,60.0
Bihar,Araria,26.211528119180603,87.30766554934816,209,2811569,727643,468125,1593525,1207442,4116,371,187,1910,63,1085.0,43.0
Bihar,Aurangabad,24.774291867469874,84.45986024096379,235,2540073,868733,597269,2291133,237353,2218,295,334,775,19,1080.0,58.0
Bihar,Aurangabad,24.774291867469874,84.45986024096379,515,3701282,1430936,1072901,2545438,786677,15991,5142,309093,30981,1005,1083.0,68.0
Bihar,Banka,24.832355642023337,86.8664916342413,225,2034763,590961,374360,1772655,250925,6138,139,113,94,1035,1103.0,47.0
Bihar,Begusarai,25.54302613168723,86.12560144032932,222,2970541,918507,630166,2554330,407348,2209,402,229,276,57,1117.0,52.0
Bihar,Bhagalpur,25.277192885375474,87.04213814229242,224,3037766,937669,635397,2487866,537098,3556,415,180,1050,32,1136.0,52.0
Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,2728407,973486,625665,2518216,197819,2165,544,647,1472,48,1102.0,59.0
Bihar,Buxar,25.48593018867924,84.08808081760995,232,1706352,593544,396263,1591454,105423,2125,248,5090,97,57,1085.0,58.0
Bihar,Darbhanga,26.146187719298258,85.97387352472099,215,3937385,1125566,691068,3042729,881476,3534,832,245,236,101,1097.0,46.0
Bihar,Gaya,24.7266541547278,84.94291217765044,236,4391418,1368803,928810,3876395,488121,3943,913,870,1723,108,1067.0,52.0
Bihar,Gopalganj,26.44874364161851,84.34636127167629,217,2562012,793905,589093,2119262,436057,2463,271,167,133,28,979.0,54.0
Bihar,Jamui,24.78418380462726,86.26316298200514,238,1760405,534385,324203,1525746,217621,8443,162,159,87,3438,1085.0,49.0
Bihar,Jehanabad,25.155679045643165,84.9208124481328,239,1125313,374412,244469,1045117,75742,691,148,248,60,58,1085.0,55.0
Bihar,Katihar,25.56565356037151,87.70466083591326,212,3071029,762256,517934,1684589,1365645,8659,2754,212,507,2141,1088.0,42.0
Bihar,Khagaria,25.53558891454964,86.56593256351037,223,1666886,461153,306875,1486989,175588,1253,143,79,86,115,1129.0,46.0
Bihar,Kishanganj,26.324336758321294,87.95045007235886,210,1690400,439921,305135,531236,1149095,5783,398,183,1476,28,1053.0,44.0
Bihar,Lakhisarai,25.183449321266963,86.12825701357468,227,1000912,305182,202088,956396,40886,487,140,52,78,52,1109.0,51.0
